GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pharmacie-corrige,exception,AccesDonneesException,0,5,0,0,0,2,0,1,0,1
pharmacie-corrige,controller,ClientController,0,48,0,2,0,17,0,4,0,3
pharmacie-corrige,controller,CommandeController,0,34,0,2,0,14,0,3,0,2
pharmacie-corrige,controller,GestionnaireErreurs,0,21,0,0,0,7,0,3,0,3
pharmacie-corrige,controller,StockHistoriqueController,0,11,0,0,0,4,0,2,0,2
pharmacie-corrige,controller,UserController,4,51,2,4,3,14,2,3,0,2
pharmacie-corrige,controller,MedicamentController,0,83,0,4,0,24,0,8,0,6
pharmacie-corrige,controller,VenteController,0,71,0,4,0,25,0,8,0,6
pharmacie-corrige,controller,AuthController,0,81,2,6,0,28,2,6,0,4
pharmacie-corrige,dao,MedicamentDAO,0,295,9,17,0,91,9,11,0,7
pharmacie-corrige,dao,UserDAO,0,80,3,7,0,21,3,5,0,3
pharmacie-corrige,dao,CommandeDAO,0,36,0,0,0,12,0,2,0,2
pharmacie-corrige,dao,StockHistoriqueDAO,0,94,0,2,0,30,0,5,0,4
pharmacie-corrige,dao,VenteDAO,17,206,0,6,4,64,0,13,0,10
pharmacie-corrige,dao,UtilisateurDAO,0,66,2,6,0,17,2,5,0,3
pharmacie-corrige,dao,ClientDAO,0,91,3,5,0,25,3,4,0,3
pharmacie-corrige,service,ClientService,0,19,0,0,0,5,0,3,0,3
pharmacie-corrige,service,MedicamentService,0,55,0,2,0,16,0,7,0,6
pharmacie-corrige,service,CommandeService,0,53,0,2,0,15,0,4,0,3
pharmacie-corrige,service,VenteService,0,115,0,6,0,30,0,12,0,9
pharmacie-corrige,service,UserService,0,61,0,6,0,17,0,9,0,6
pharmacie-corrige,service,NotificationService,0,34,0,4,0,15,0,6,0,4
pharmacie-corrige,service,AuthService,0,12,0,0,0,4,0,2,0,2
pharmacie-corrige,service,StockService,0,56,0,2,0,20,0,5,0,4
pharmacie-corrige,utils,DBConnection,18,34,0,4,6,9,1,5,1,3
pharmacie-corrige,model,Commande,43,0,0,0,18,0,9,0,9,0
pharmacie-corrige,model,Client,53,0,0,0,22,0,11,0,11,0
pharmacie-corrige,model,Medicament,41,0,0,0,16,0,8,0,8,0
pharmacie-corrige,model,Vente,43,0,0,0,18,0,9,0,9,0
pharmacie-corrige,model,StockHistorique,33,0,0,0,14,0,7,0,7,0
pharmacie-corrige,model,Gestionnaire,8,0,0,0,2,0,1,0,1,0
pharmacie-corrige,model,Utilisateur,18,0,0,0,7,0,1,0,1,0
pharmacie-corrige,model,Pharmacien,8,0,0,0,2,0,1,0,1,0
pharmacie-corrige,main,PharmacieApplication,5,3,0,0,2,1,1,1,1,1
pharmacie-corrige,main,Main,495,0,35,0,176,0,38,0,12,0
pharmacie-corrige,config,AuthInterceptor,0,81,1,11,0,20,1,9,0,4
pharmacie-corrige,config,AppConfig,0,72,0,0,0,15,0,15,0,15
pharmacie-corrige,config,WebConfig,0,24,0,0,0,5,0,2,0,2
pharmacie-corrige,dto,MedicamentResponse,0,21,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,CommandeRequest,0,12,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,VenteRequest,0,15,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,MessageResponse,0,6,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,StockResponse,0,9,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,LoginResponse,0,9,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,StockUpdateRequest,0,6,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,ProfilResponse,0,15,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,ClientRequest,0,15,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,MedicamentRequest,0,18,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,StockHistoriqueResponse,0,12,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,StockCritiqueResponse,0,9,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,VenteResponse,0,21,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,ExistenceResponse,0,6,0,0,0,1,0,1,0,1
pharmacie-corrige,dto,ClientResponse,0,9,0,0,0,1,0,1,0,1
